新聞時間　　　,-32768,-32640,-32640,news,0,800,0,0,9,9,8,-2088533247,2000,4,10,1,0,0,-1,3,0,1,2,3,7,2,2,2,2,2,-1,2088532992,1800,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,新聞報導。                                                              
最新新聞,-32768,32125,32125,news,1,800,0,0,5,4,2,-2105376255,2000,4,10,1,0,0,-1,3,0,1,2,3,7,2,2,2,2,2,-1,2139062016,1730,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,提供最新的新聞節目。                                                    
世界新聞,-32256,32125,32125,news,2,800,0,0,5,7,6,2105376001,2000,4,10,1,5,0,-1,5,0,1,2,3,8,2,2,2,2,2,-1,2139062016,1820,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,以國際新聞為主的新聞報導。                                              
全世界新聞報導,-32256,-32640,-32640,news,3,800,0,0,4,6,3,2088532993,2000,4,10,1,10,0,-1,5,0,1,2,3,8,2,2,2,2,2,-1,2139062016,1240,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,以國際新聞為主的新聞報導。                                              
重要新聞,-30720,-31869,-31869,news,4,843,0,0,6,6,4,-2139062271,2000,4,10,1,40,0,-1,3,0,1,2,3,8,2,2,2,2,2,-1,2139062016,1420,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導當天重要的新聞。                                                    
整點新聞時間,-32768,32639,32639,news,5,800,0,0,7,7,3,-1953789183,2000,4,10,1,90,0,-1,6,0,1,2,3,8,2,2,2,2,2,-1,-2139062272,1620,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導當天的新聞。                                                        
垃圾新聞,32512,31354,31354,news,18,171,0,0,2,8,3,2088532993,2000,4,10,1,112,0,-1,3,1,3,8,6,-1,2,2,2,4,0,-1,2139062016,1280,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,各式各樣的社會與地方新聞。                                              
車拼新聞,31744,-32640,-32640,news,17,801,0,0,3,6,3,-2105376255,2000,4,10,1,145,0,-1,3,6,5,1,-1,-1,6,2,2,0,0,-1,-2139062272,1460,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導當天的新聞。                                                        
大家看新聞,-31488,-32126,-32126,news,6,800,0,0,6,5,5,-2139062271,2000,4,10,1,200,0,-1,5,5,1,3,4,9,2,2,2,2,2,-1,-2139062272,1400,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導當天的新聞。                                                        
新聞時刻,-32000,32639,32639,news,7,843,0,0,7,6,3,2004317953,2000,4,10,1,234,0,-1,6,0,1,2,3,-1,5,2,2,1,0,-1,2038003968,1810,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導當天的新聞。                                                        
名人新聞時間,-32768,32125,32125,news,10,801,0,0,4,5,6,2088532993,2000,4,10,1,286,0,-1,3,6,2,0,-1,-1,4,2,4,0,0,-1,-2088533248,1880,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,由各行各業的名人擔任主播報導當天新聞。                                  
新聞最前線,-32768,32125,32125,news,8,801,0,0,6,7,5,-2105376255,2000,4,10,1,332,0,-1,2,3,9,8,-1,-1,3,4,3,0,0,-1,2105376000,2790,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導當天的新聞。                                                        
轟動大新聞,-32768,-31098,-31098,news,9,801,0,0,6,8,3,-2139062271,2001,4,10,1,385,0,-1,3,0,1,2,-1,-1,4,2,4,0,0,-1,-2088533248,2140,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導轟動社會，大家最關切的新聞。                                        
落水狗新聞,32512,-31355,-31355,news,16,801,0,0,4,3,3,-2139062271,2001,4,10,1,409,0,-1,3,4,7,3,-1,-1,3,2,5,0,0,-1,-2038004224,2200,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導當天的有趣新聞。                                                    
非常娛樂新聞,31744,-32126,-32126,news,18,174,0,0,7,8,7,-2054847231,2001,4,10,1,461,0,-1,4,6,7,8,9,-1,4,2,2,2,0,-1,2139062016,2260,-1,-1,90,0,1,-1,40,45,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,報導當天的有趣新聞。                                                    
