愛到最高點        ,0,1,149,1,149,1,culture,1,149,1,149,1,149,1,20,888,1,6,1,2,5,0,9,9,0,0,1,2,14,-1,4,3,2,1,0
一個人的生活      ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,26,887,1,6,1,2,5,0,9,9,0,3,0,1,13,-1,4,3,2,1,0
兄弟情            ,0,0,0,0,0,0,happy,0,0,0,0,0,0,0,10,885,1,6,1,2,6,0,8,8,0,0,1,9,14,-1,4,3,2,1,0
如果還有來生      ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,53,877,1,6,1,2,2,10,6,16,0,0,4,8,3,-1,4,3,2,1,0
悄悄地我走了      ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,9,884,1,6,1,2,1,21,8,18,0,0,1,14,-1,-1,5,3,2,0,0
錯誤              ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,27,879,1,6,1,2,3,32,3,13,0,0,3,9,10,-1,3,3,3,1,0
一生只愛你一人    ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,28,880,1,6,1,2,5,45,9,9,0,0,1,3,15,-1,3,3,2,2,0
迷人的情書        ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,24,881,1,6,1,2,5,56,9,9,0,0,4,8,3,-1,4,3,2,1,0
六月的風已遠      ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,4,891,1,6,1,2,2,64,6,16,0,1,4,16,14,-1,4,3,2,1,0
秋葉              ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,3,882,1,6,1,2,0,78,1,21,0,1,0,13,5,-1,4,3,2,1,0
離別的火鍋        ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,50,883,1,6,1,2,7,87,6,6,0,1,0,2,13,-1,4,3,2,1,0
山谷的春天        ,0,0,0,0,0,0,art,0,0,0,0,0,0,0,4,884,1,6,1,2,5,92,9,9,0,1,4,16,14,-1,4,3,2,1,0
再續前緣          ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,20,899,1,6,1,2,5,101,9,9,0,1,0,13,5,-1,4,3,2,1,0
生命的光輝        ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,36,142,1,6,1,2,9,113,9,9,0,1,0,2,13,-1,4,3,2,1,0
一把永不開啟的鎖  ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,33,887,1,6,1,2,5,124,9,9,0,1,4,16,14,-1,4,3,2,1,0
天湖的歲月        ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,47,888,1,6,1,2,5,135,9,9,0,1,0,13,5,-1,4,3,2,1,0
牽手走過          ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,50,889,1,6,1,2,9,146,9,9,0,1,0,2,13,-1,4,3,2,1,0
悲哥              ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,41,860,1,6,1,2,8,158,4,4,0,1,4,16,14,-1,4,3,2,1,0
十年夜雨          ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,1,856,1,6,1,2,5,162,9,9,1,1,0,13,5,-1,4,3,2,1,0
桃李春風一杯酒    ,0,0,0,0,0,0,art,0,0,0,0,0,0,0,22,892,1,6,1,2,0,172,1,21,1,1,0,2,13,-1,4,3,2,1,0
愛你的心          ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,12,893,1,6,1,2,5,189,9,9,0,1,4,16,14,-1,4,3,2,1,0
拾起              ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,37,894,1,6,1,2,5,192,9,9,0,1,0,13,5,-1,4,3,2,1,0
最後一次          ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,24,874,1,6,1,2,5,204,9,9,0,1,0,2,13,-1,4,3,2,1,0
江郎才盡將軍歌    ,0,0,0,0,0,0,fight,0,0,0,0,0,0,0,101,875,1,6,1,2,5,215,9,9,1,1,4,16,14,-1,4,3,2,1,0
出塞歌曲          ,0,0,0,0,0,0,add,0,0,0,0,0,0,0,5,252,1,6,1,2,5,225,9,9,1,1,0,13,5,-1,4,3,2,1,0
北風呼呼地吹      ,0,0,0,0,0,0,add,0,0,0,0,0,0,0,3,340,1,6,1,2,2,236,6,16,0,1,0,2,13,-1,4,3,2,1,0
天上的星星閃閃    ,0,0,0,0,0,0,art,0,0,0,0,0,0,0,13,878,1,6,1,2,5,244,9,9,0,1,4,16,14,-1,4,3,2,1,0
好男愛老婆        ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,14,879,1,6,1,2,7,252,6,6,0,1,0,13,5,-1,4,3,2,1,0
說一聲再見好難    ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,13,880,1,6,1,2,5,261,9,9,0,1,0,2,13,-1,4,3,2,1,0
如此愛你          ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,13,899,1,6,1,2,5,273,9,9,0,1,4,16,14,-1,4,3,2,1,0
離家出走的午後    ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,9,881,1,6,1,2,3,286,3,13,0,1,0,13,5,-1,4,3,2,1,0
相信我是唯一      ,0,0,0,0,0,0,culture,0,0,0,0,0,0,0,11,882,1,6,1,2,5,295,9,9,0,1,0,2,13,-1,4,3,2,1,0
