陳曉菁,1,0,76,1,1,19,0,95,95,73,62,68,75,65,70,68,9,72,70,9,68,70,0,0,0,0,-1,80,80,0,0,0,0,0,2
李慕潔,0,0,1,1,1,5,24000,65,75,45,50,58,65,45,58,20,6,62,50,7,20,50,0,0,0,0,-1,80,80,0,0,0,0,0,2
楊政樺,0,0,2,1,1,5,24000,75,65,55,45,43,46,45,41,60,8,75,80,6,60,80,0,0,0,0,-1,80,80,0,0,0,0,0,2
朱書瑋,0,0,3,1,1,5,20000,85,78,55,48,49,57,45,35,60,9,54,70,1,60,70,0,0,0,0,-1,80,80,0,0,0,0,0,2
陳　伶,0,0,4,1,1,20,35000,95,74,65,56,52,56,70,48,60,9,53,0,7,60,0,0,0,0,0,-1,80,80,0,0,0,0,0,2
王曉蕾,0,0,5,1,1,18,33000,85,76,55,50,50,48,65,41,70,8,60,60,6,70,60,0,0,0,0,-1,80,80,0,0,0,0,0,2
廖書玉,0,0,6,1,1,21,32000,80,74,65,52,54,76,72,37,10,7,48,60,7,10,60,0,0,0,0,-1,80,80,0,0,0,0,0,2
林佳君,0,0,7,1,1,22,30000,75,68,70,49,63,60,45,36,54,7,35,10,8,54,10,0,0,0,0,-1,80,80,0,0,0,0,0,2
鍾采燕,0,0,8,1,1,23,33000,75,65,68,60,52,53,60,49,10,7,38,70,8,10,70,0,0,0,0,-1,80,80,0,0,0,0,0,2
洪芷欣,0,0,9,1,1,19,32000,80,75,70,51,50,62,60,55,30,8,39,0,6,30,0,0,0,0,0,-1,80,80,0,0,0,0,0,2
妤　晴,0,0,10,1,1,23,30000,80,70,65,60,56,58,70,45,70,7,65,70,8,70,70,0,0,0,0,-1,80,80,0,0,0,0,0,2
李梅瑄,0,0,11,1,1,18,31000,75,65,65,53,42,63,65,55,70,8,42,60,9,70,60,0,0,0,0,-1,80,80,0,0,0,0,0,2
毛姿媛,0,0,12,1,1,5,23000,75,65,45,35,45,64,45,65,70,5,65,10,1,70,10,0,0,0,0,-1,80,80,0,0,0,0,0,2
林又千,0,0,13,1,1,5,20000,75,65,65,35,65,48,45,45,60,6,45,0,2,60,0,0,0,0,0,-1,80,80,0,0,0,0,0,2
梁永祺,0,0,14,1,1,27,102000,85,78,65,55,45,63,65,71,330,6,64,130,7,330,130,71,76,0,0,-1,80,80,0,0,0,0,0,2
徐懷玉,0,0,15,1,1,24,90000,75,62,65,76,63,64,65,45,84,7,76,370,8,84,370,68,72,0,0,-1,80,80,0,0,0,0,0,2
張亞琴,0,0,16,0,1,38,130000,40,58,82,70,72,70,85,80,141,3,75,580,6,141,580,70,30,0,0,-1,80,80,0,0,0,0,0,2
李燕秋,0,0,17,0,1,42,152000,76,80,87,37,57,64,90,82,223,6,92,662,8,223,662,60,45,0,0,-1,80,80,0,0,0,0,0,2
沈春花,0,0,18,0,1,38,110000,70,70,85,35,35,43,85,78,234,5,80,490,7,234,490,62,26,0,0,-1,80,80,0,0,0,0,0,2
范文芬,0,0,19,1,1,24,82000,73,67,72,62,38,72,65,68,209,7,65,70,5,209,70,0,0,0,0,-1,80,80,0,0,0,0,0,2
柯映雪,0,0,20,1,1,18,25000,80,85,45,35,35,62,65,45,50,7,45,80,9,50,80,0,0,0,0,-1,80,80,0,0,0,0,0,2
柳若蘭,0,0,21,4,1,28,21000,35,85,35,45,65,34,45,38,60,8,64,60,6,60,60,0,0,0,0,-1,80,80,0,0,0,0,0,2
段雨青,0,0,22,0,1,27,18000,75,75,60,65,45,63,65,27,30,7,28,36,2,30,36,0,0,0,0,-1,80,80,0,0,0,0,0,2
凌紫衣,0,0,23,1,1,19,18000,35,35,45,45,15,48,45,35,30,7,35,0,3,30,0,0,0,0,0,-1,80,80,0,0,0,0,0,2
唐素心,0,0,24,4,1,25,20000,15,45,15,15,35,63,85,71,66,9,54,12,5,66,12,0,0,0,0,-1,80,80,0,0,0,0,0,2
孫　柔,0,0,25,5,1,24,36000,75,55,65,65,45,63,45,45,20,4,45,70,6,20,70,0,0,0,0,-1,80,80,0,0,0,0,0,2
畢采鳳,0,0,26,1,1,55,52000,15,65,65,51,55,43,45,78,320,4,41,130,5,320,130,31,1,0,0,-1,80,80,0,0,0,0,0,2
張詩黛,0,0,27,0,1,18,22000,65,75,65,50,45,36,70,64,60,8,46,21,4,60,21,0,0,0,0,-1,80,80,0,0,0,0,0,2
梁有儀,0,0,28,1,1,64,29000,5,15,45,26,75,82,20,45,70,8,65,10,8,70,10,0,0,0,0,-1,80,80,0,0,0,0,0,2
徐　絹,0,0,29,0,1,28,19000,85,90,75,45,51,79,65,63,92,7,43,3,8,92,3,1,5,0,0,-1,80,80,0,0,0,0,0,2
曾快樂,0,0,30,1,1,26,12000,10,35,75,35,78,66,65,45,10,6,65,0,1,10,0,0,0,0,0,-1,80,80,0,0,0,0,0,2
許子靈,0,0,31,0,1,28,32000,70,75,69,25,25,43,45,65,270,8,42,70,4,270,70,0,0,0,0,-1,80,80,0,0,0,0,0,2
連麗華,0,0,32,5,1,36,38000,55,55,55,35,65,76,65,51,170,5,48,90,7,170,90,0,0,0,0,-1,80,80,0,0,0,0,0,2
陳君蘭,0,0,33,5,1,26,40000,55,45,65,55,45,62,45,59,36,2,70,160,6,36,160,0,0,0,0,-1,80,80,0,0,0,0,0,2
